Oyuncu İsmi,Yaş,Uyruk,Piyasa Değeri,Piyasa Değeri (Sayısal)
Arda Kılıç,20,Türkiye,75 bin €,75000.0
Milot Rashica,28,Kosova,7.50 mil. €,7500000.0
Can Keleş,23,Avusturya,2.00 mil. €,2000000.0
Rafa,31,Portekiz,12.00 mil. €,12000000.0
Ciro Immobile,34,İtalya,3.30 mil. €,3300000.0
Mustafa Hekimoğlu,17,Türkiye,2.50 mil. €,2500000.0
Berke Özer,24,Türkiye,3.50 mil. €,3500000.0
Birkan Tetik,29,Türkiye,75 bin €,75000.0
Alp Köseer,22,Türkiye,50 bin €,50000.0
Rúben Vezo,30,Portekiz,1.50 mil. €,1500000.0
Robin Yalçın,30,Türkiye,600 bin €,600000.0
Jakhongir Urozov ,20,Özbekistan,400 bin €,400000.0
Luccas Claro,33,Brezilya,400 bin €,400000.0
Mustafa Eren Damar ,20,Türkiye,-,
Umut Meraş,29,Türkiye,400 bin €,400000.0
Caner Erkin ,36,Türkiye,175 bin €,175000.0
Léo Dubois ,30,Fransa,2.70 mil. €,2700000.0
Tayfur Bingöl,32,Türkiye,550 bin €,550000.0
Erdem Gökçe,21,Türkiye,50 bin €,50000.0
Abdülkadir Aydın ,22,Türkiye,-,
Melih Kabasakal,28,Türkiye,600 bin €,600000.0
Taşkın İlter ,30,Azerbaycan,275 bin €,275000.0
Fredrik Midtsjø ,31,Norveç,1.60 mil. €,1600000.0
Dorukhan Toköz,28,Türkiye,1.40 mil. €,1400000.0
Yalçın Kayan,25,Türkiye,650 bin €,650000.0
Hamza Akman,20,Türkiye,300 bin €,300000.0
Emre Akbaba,32,Türkiye,1.00 mil. €,1000000.0
Recep Niyaz ,29,Türkiye,500 bin €,500000.0
Samu Saiz,33,İspanya,325 bin €,325000.0
Ahmed Kutucu,24,Türkiye,3.50 mil. €,3500000.0
Anastasios Chatzigiovanis ,27,Yunanistan,1.50 mil. €,1500000.0
Prince Ampem,26,Gana,1.50 mil. €,1500000.0
Emre Mor,27,Türkiye,1.10 mil. €,1100000.0
Halil Akbunar,31,Türkiye,1.00 mil. €,1000000.0
Sinan Gümüş ,31,Türkiye,75 bin €,75000.0
Hüseyin Maldar,17,Türkiye,75 bin €,75000.0
Mame Thiam,32,Senegal,2.40 mil. €,2400000.0
Gianni Bruno,33,Belçika,600 bin €,600000.0
Mateusz Lis,27,Polonya,1.80 mil. €,1800000.0
Arda Özçimen,23,Türkiye,225 bin €,225000.0
Emircan Seçgin,22,Türkiye,50 bin €,50000.0
Yiğit Yıldız ,20,Türkiye,25 bin €,25000.0
Taha Altıkardeş ,21,Türkiye,5.50 mil. €,5500000.0
Malcom Bokele,24,Kamerun,2.10 mil. €,2100000.0
Héliton,29,Brezilya,850 bin €,850000.0
Novatus Miroshi,22,Tanzanya,850 bin €,850000.0
Koray Günter,30,Almanya,700 bin €,700000.0
Lasse Nielsen,37,Danimarka,75 bin €,75000.0
Ege Yıldırım,17,Türkiye,50 bin €,50000.0
Djalma Silva,30,Brezilya,650 bin €,650000.0
İsmail Köybaşı ,35,Türkiye,50 bin €,50000.0
Ogün Bayrak,26,Türkiye,850 bin €,850000.0
Nazım Sangaré,30,Türkiye,400 bin €,400000.0
Anthony Dennis,20,Nijerya,1.30 mil. €,1300000.0
Doğan Erdoğan ,28,Türkiye,325 bin €,325000.0
Victor Hugo,20,Brezilya,5.00 mil. €,5000000.0
Kuryu Matsuki,21,Japonya,2.00 mil. €,2000000.0
Isaac Solet ,23,Orta Afrika Cumhuriyeti,850 bin €,850000.0
Ahmed Ildız,28,Türkiye,325 bin €,325000.0
Tuğbey Akgün,21,Türkiye,75 bin €,75000.0
Furkan Malak,20,Türkiye,50 bin €,50000.0
David Tijanic,27,Slovenya,1.40 mil. €,1400000.0
Emir Enes Araz,18,Türkiye,-,
David Datro Fofana ,22,Fildişi Sahili,8.50 mil. €,8500000.0
Rômulo ,22,Brezilya,3.70 mil. €,3700000.0
Juan,22,Brezilya,1.90 mil. €,1900000.0
Kubilay Kanatsızkuş ,27,Türkiye,300 bin €,300000.0
